"No.","Time","Source","Destination","Protocol","Length","Info"
"48","0.486789624","94.130.237.200","100.94.78.223","TLSv1.3","210","Application Data"
"49","0.527150651","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=17387 Win=31872 Len=0 TSval=1610293986 TSecr=2726633779"
"50","0.531482677","94.130.237.200","100.94.78.223","TLSv1.3","5858","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"51","0.531556443","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=23179 Win=31872 Len=0 TSval=1610293991 TSecr=2726633824"
"52","0.531614947","94.130.237.200","100.94.78.223","TLSv1.3","2962","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"53","0.531621997","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=26075 Win=31872 Len=0 TSval=1610293991 TSecr=2726633824"
"54","0.531748172","94.130.237.200","100.94.78.223","TLSv1.3","1394","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"55","0.531780404","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=27403 Win=31872 Len=0 TSval=1610293991 TSecr=2726633824"
"56","0.545075543","94.130.237.200","100.94.78.223","TLSv1.3","217","Application Data"
"57","0.545148449","94.130.237.200","100.94.78.223","TLSv1.3","186","Application Data"
"58","0.545274741","94.130.237.200","100.94.78.223","TLSv1.3","109","Application Data"
"59","0.545274766","94.130.237.200","100.94.78.223","TLSv1.3","218","Application Data"
"60","0.545349545","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=27869 Win=31872 Len=0 TSval=1610294004 TSecr=2726633838"
"61","0.545387590","94.130.237.200","100.94.78.223","TLSv1.3","108","Application Data"
"62","0.545476336","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=27911 Win=31872 Len=0 TSval=1610294005 TSecr=2726633838"
"63","0.590631482","94.130.237.200","100.94.78.223","TLSv1.3","4410","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"64","0.590652328","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=32255 Win=31872 Len=0 TSval=1610294050 TSecr=2726633883"
"65","0.590682464","94.130.237.200","100.94.78.223","TLSv1.3","1514","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"66","0.590995506","94.130.237.200","100.94.78.223","TLSv1.3","1514","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"67","0.591000031","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=35151 Win=31872 Len=0 TSval=1610294050 TSecr=2726633883"
